timestamp,rrInterval,areaUp,areaDown,motion
1693556471550,640,1269,5526,12
1693556471820,270,1199,132,0
1693556472180,360,196,660,0
1693556472670,490,806,3166,16
1693556473430,760,1381,3852,16
1693556474070,640,1120,3297,2
1693556474710,640,657,1469,0
1693556475980,1270,7329,7836,20
1693556477270,1290,11563,3492,106
1693556477930,660,784,2134,6
1693556478320,390,142,3580,2
1693556479860,1540,16003,12298,40
1693556481110,1250,10752,3986,0
1693556481740,630,3361,2533,6
1693556482380,640,587,2011,0
1693556483040,660,622,1915,0
1693556483780,740,868,2724,0
1693556484500,720,702,2808,0
1693556485520,1020,1014,6085,0
1693556486700,1180,9220,6047,62
1693556487350,650,813,1497,0
1693556487950,600,2455,6139,0
1693556488650,700,8355,1572,44
1693556489280,630,670,1501,0
1693556489910,630,547,2848,0
1693556490540,630,690,1528,0
1693556491770,1230,6450,2842,0
1693556492420,650,516,1783,0
1693556493100,680,674,2014,0
1693556493810,710,751,1739,0
1693556494500,690,675,2081,0
1693556495170,670,543,8879,0
1693556496460,1290,16199,4186,86
1693556497080,620,578,1369,0
1693556497710,630,945,4864,0
1693556497990,280,1007,115,0
1693556498330,340,73,705,0
1693556498950,620,852,2229,0
1693556499580,630,426,2100,0
1693556500230,650,685,2098,0
1693556500520,290,507,166,0
1693556501600,1080,634,1912,0
1693556502270,670,421,3157,0
1693556503570,1300,5593,3172,0
1693556504210,640,502,2214,0
1693556504870,660,617,1737,0
1693556505550,680,699,1927,0
1693556506240,690,510,1915,0
1693556506960,720,518,2348,0
1693556507650,690,597,1535,0
1693556508340,690,546,1890,0
1693556509030,690,559,2370,0
1693556509690,660,544,1959,0
1693556510330,640,620,3936,0
1693556516230,620,564,1708,0
1693556516820,590,642,1397,0
1693556517420,600,474,1849,0
1693556518030,610,512,2095,0
1693556518300,270,580,138,0
1693556518650,350,82,153,0
1693556519320,670,758,3549,0
1693556519980,660,499,1657,0
1693556520680,700,711,1680,0
1693556521360,680,558,2794,0
1693556522020,660,517,1282,0
1693556522700,680,726,1665,0
1693556523360,660,424,2125,0
1693556524050,690,697,1460,0
1693556524750,700,684,2172,0
1693556525430,680,532,2110,0
1693556526120,690,615,2737,0
1693556526800,680,790,1639,0
1693556527490,690,576,3490,0
1693556528150,660,595,1409,0
1693556528810,660,2895,990,0
1693556529470,660,476,2743,0
1693556530120,650,796,1775,0
1693556530780,660,787,1853,0
1693556531480,700,666,3498,0
1693556532130,650,516,1171,0
1693556533480,1350,6609,3122,0
